Date,Low,High,Close,Open
11/8/21,21.84,22.35,22.25,22.19
11/5/21,21.26,22.06,21.82,21.91
11/4/21,20.35,20.84,20.63,20.73
11/3/21,19.725,20.67,20.63,19.82
11/2/21,19.57,19.89,19.83,19.67
11/1/21,18.8745,19.78,19.77,19.09
10/29/21,19.005,19.445,19.2,19.18
10/28/21,18.85,19.24,19.19,19.11
10/27/21,18.97,19.57,19.03,19.45
10/26/21,19.24,19.815,19.39,19.34
10/25/21,18.9,19.3,19.23,19.16
10/22/21,19.03,19.76,19.15,19.72
10/21/21,19.5,20.01,19.89,19.62
10/20/21,19.22,19.835,19.52,19.59
10/19/21,19.5,19.94,19.53,19.93
10/18/21,19.74,20.15,19.84,19.92
10/15/21,19.92,20.33,19.98,20.015
10/14/21,19.585,19.9364,19.64,19.775
10/13/21,19.53,20.25,19.61,20.25
10/12/21,20.03,20.4,20.29,20.2
10/11/21,19.8498,20.51,20.13,19.98
10/8/21,19.88,20.29,20.07,20.24
10/7/21,20.08,20.9,20.17,20.84
10/6/21,20.31,21.01,20.54,20.7
10/5/21,21.25,21.85,21.47,21.5
10/4/21,21.29,22.08,21.39,21.915
10/1/21,20.9,21.78,21.65,20.995
9/30/21,20.37,20.87,20.52,20.87
9/29/21,21,21.58,21.01,21.51
9/28/21,21.29,21.81,21.43,21.35
9/27/21,21.46,22.19,21.47,21.77
9/24/21,20.81,21.62,21.39,20.89
9/23/21,20.65,21.3,20.9,20.76
9/22/21,19.93,20.75,20.52,19.93
9/21/21,19.6701,20.75,19.76,20.42
9/20/21,19.3363,20.37,20.33,19.72
9/17/21,19.54,20.32,19.73,19.94
9/16/21,19.3205,20.22,19.89,19.35
9/15/21,18.86,19.41,19.38,19.19
9/14/21,19.04,19.52,19.21,19.35
9/13/21,18.643,19.515,19.31,19.16
9/10/21,18.93,20.29,18.95,20.28
9/9/21,19.01,20.61,20.2,19.1
9/8/21,19.05,19.8,19.13,19.53
9/7/21,19.21,19.65,19.53,19.36
9/3/21,19.32,19.9299,19.37,19.68
9/2/21,19.4774,19.98,19.76,19.7268
9/1/21,19.531,20.095,19.64,20.01
8/31/21,19.36,20.02,19.94,19.47
8/30/21,19.47,20.3,19.51,20.29
8/27/21,19.882,20.43,20.22,19.9893
8/26/21,19.58,20.44,19.9,20
8/25/21,19.4191,20.24,20.15,19.77
8/24/21,19.39,20.02,19.83,19.3986
8/23/21,18.81,19.32,19.11,18.88
8/20/21,18.29,18.86,18.5,18.64
8/19/21,18.38,19.195,18.73,19
8/18/21,19.04,19.66,19.14,19.34
8/17/21,19.09,19.6062,19.34,19.36
8/16/21,19.34,20.02,19.76,19.631
8/13/21,19.75,20.55,19.84,20.3681
8/12/21,20.305,21.11,20.43,21.0288
8/11/21,20.4845,21.49,21.23,20.625
8/10/21,20.38,21.4,20.94,20.5
8/9/21,20.0601,20.79,20.56,20.765
8/6/21,20.52,21.22,21.02,21.13
8/5/21,19.45,20.965,20.91,19.47
8/4/21,19.345,19.955,19.45,19.52
8/3/21,19.31,20.08,19.95,20.08
8/2/21,19.99,20.85,20.06,20.49
7/30/21,20.24,21.1499,20.38,20.84
7/29/21,21.165,21.78,21.17,21.775
7/28/21,21.225,21.79,21.63,21.61
7/27/21,21.11,22.155,21.46,21.9581
7/26/21,20.94,22.11,22.08,21.03
7/23/21,21.02,21.69,21.2,21.35
7/22/21,20.59,21.62,21.16,21.06
7/21/21,20.75,21.55,21.4,20.79
7/20/21,18.855,20.59,20.56,19.05
7/19/21,18.28,19.21,18.97,18.83
7/16/21,19.72,20.73,19.79,20.68
7/15/21,20.15,21.059,20.46,20.56
7/14/21,20.43,21.57,20.62,20.87
7/13/21,19.99,20.7,20.02,20.69
7/12/21,20.35,20.98,20.84,20.72
7/9/21,20.5,21,20.89,20.79
7/8/21,19.655,20.64,20.35,19.88
7/7/21,20.17,21.05,20.31,20.79
7/6/21,20.86,21.79,21.01,21.5
7/2/21,21.11,21.65,21.48,21.615
7/1/21,21.33,21.79,21.51,21.4736
6/30/21,20.94,21.48,21.21,21.0918
6/29/21,21.015,21.4,21.08,21.32
6/28/21,21.14,22.09,21.39,22.09
6/25/21,22.07,22.48,22.22,22.33
6/24/21,21.95,22.5,22.35,22.21
6/23/21,22.08,22.335,22.2,22.17
6/22/21,21.845,22.38,22.11,22.35
6/21/21,21.91,22.545,22.45,22.3178
6/18/21,21.91,22.53,22.29,22.065
6/17/21,21.825,23.13,22.23,22.83
6/16/21,22.515,23,22.83,22.74
6/15/21,22.55,23.13,22.79,22.97
6/14/21,22.93,23.74,22.99,23.49
6/11/21,23.4,23.74,23.53,23.43
6/10/21,23.26,24.24,23.46,24.14
6/9/21,23.84,24.41,23.85,24.37
6/8/21,23.86,24.49,24.22,24.42
6/7/21,24.18,24.7712,24.25,24.49
6/4/21,24.255,25.18,24.3,25.13
6/3/21,24.9,25.58,24.93,25.42
6/2/21,24.65,26.04,25.82,24.76
6/1/21,24.51,25.09,24.67,24.68
5/28/21,24.13,24.82,24.24,24.39
5/27/21,23.68,24.49,24.43,24.03
5/26/21,23.2,23.95,23.9,23.525
5/25/21,23.11,24.17,23.21,23.45
5/24/21,22.35,23.05,22.99,22.85
5/21/21,22.51,23.035,22.57,22.71
5/20/21,22.29,23.175,22.6,23.175
5/19/21,22.62,23.27,22.97,22.97
5/18/21,23.08,23.94,23.56,23.54
5/17/21,22.1,23.4,23.35,22.32
5/14/21,21.43,22.48,22.4,21.43
5/13/21,20.62,21.42,21.21,20.88
5/12/21,20.69,21.69,20.76,21.36
5/11/21,20.91,21.7,21.57,21.07
5/10/21,21.96,22.54,22,22.23
5/7/21,21.27,22.19,22,21.4
5/6/21,21.16,21.75,21.49,21.51
5/5/21,21.19,21.87,21.57,21.35
5/4/21,20.94,21.989,21.42,21.78
5/3/21,21.4,22.01,21.95,21.87
4/30/21,21.075,21.88,21.72,21.17
4/29/21,21.21,22.15,21.3,21.94
4/28/21,21.48,21.89,21.7,21.64
4/27/21,21.6,22.07,21.76,22.01
4/26/21,21.48,22.05,22.04,21.52
4/23/21,20.18,21.2,21.11,20.27
4/22/21,20.04,21.61,20.07,21.58
4/21/21,19.64,21.03,21.01,20.005
4/20/21,19.96,21.02,20.37,21.02
4/19/21,21.37,21.985,21.55,21.97
4/16/21,21.87,22.36,22.03,22.06
4/15/21,21.695,22.6669,22.13,22.65
4/14/21,22.2,23.35,22.37,22.95
4/13/21,21.66,22.65,22.56,22.18
4/12/21,22.72,23.32,22.91,23.232
4/9/21,23.25,23.665,23.54,23.445
4/8/21,22.63,23.88,23.65,23.88
4/7/21,23.82,24.59,23.93,24.19
4/6/21,23.91,24.5,24.06,24.2
4/5/21,24.16,24.85,24.23,24.46
4/1/21,23.645,24.225,23.86,24.02
3/31/21,23.61,24.121,23.9,24.03
3/30/21,23.023,24.195,24.12,23.1
3/29/21,22.395,23.1899,22.91,23.16
3/26/21,22.28,23.29,22.93,23.14
3/25/21,21.02,22.915,22.77,21.25
3/24/21,21.76,23.18,21.81,22.79
3/23/21,22.08,23.66,22.27,23.35
3/22/21,23.76,24.7,23.83,24.62
3/19/21,23.88,25.11,24.97,24.68
3/18/21,24.55,26.09,24.7,25.12
3/17/21,23.9,25.22,25.16,24.12
3/16/21,24.31,25.25,24.47,25.11
3/15/21,24.21,25.94,25.17,24.55
3/12/21,22.13,23.54,23.37,22.18
3/11/21,21.765,22.5,22.15,22
3/10/21,21.37,22.48,21.75,21.67
3/9/21,20.66,21.81,21.6,21.585
3/8/21,20.65,21.705,21.47,20.78
3/5/21,18.94,21.5,20.45,21.4
3/4/21,20.41,22.42,21.24,22.275
3/3/21,21.73,22.59,22.17,21.87
3/2/21,21.12,21.63,21.44,21.28
3/1/21,21.05,22.29,21.18,21.75
2/26/21,20.34,21.43,20.94,20.61
2/25/21,20.38,22.44,20.86,22.13
2/24/21,20.75,22.115,21.82,20.87
2/23/21,18.74,21.05,20.66,20.68
2/22/21,19.31,21.11,20.44,19.84
2/19/21,17.78,18.83,18.68,17.9
2/18/21,17.45,17.9782,17.71,17.83
2/17/21,17.48,18.34,17.99,17.69
2/16/21,17.51,17.9,17.82,17.63
2/12/21,16.92,17.49,17.27,17.01
2/11/21,16.79,17.4,16.99,17.3
2/10/21,17.27,17.675,17.41,17.55
2/9/21,17.335,17.76,17.44,17.735
2/8/21,17.24,18.09,17.77,17.32
2/5/21,17.07,17.67,17.19,17.6
2/4/21,17.305,17.59,17.4,17.475
2/3/21,16.49,17.72,17.6,16.61
2/2/21,16.55,17.2599,16.59,17.03
2/1/21,16.33,17.33,16.84,17.25
1/29/21,16.75,18.73,17.17,18.69
1/28/21,16.82,21.77,18.1,20.33
1/27/21,15.38,17.81,16.56,15.42
1/26/21,15.33,15.765,15.53,15.52
1/25/21,15.02,15.56,15.43,15.52
1/22/21,15.46,15.84,15.82,15.57
1/21/21,15.56,16.22,15.83,15.99
1/20/21,15.8408,16.39,16.17,16.17
1/19/21,15.89,16.27,15.97,15.99
1/15/21,15.735,16.28,15.76,16.17
1/14/21,15.82,16.6,16.44,15.83
1/13/21,15.11,15.63,15.53,15.29
1/12/21,14.88,15.43,15.38,15.075
1/11/21,14.71,15.04,15,14.82
1/8/21,15,15.53,15.13,15.43
1/7/21,15.38,15.87,15.38,15.67
1/6/21,15.17,15.8,15.52,15.45
1/5/21,14.87,15.63,15.43,14.92
1/4/21,15.03,15.88,15.13,15.85
12/31/20,15.625,16.09,15.77,16.08
12/30/20,15.72,16.2,16.15,15.85
12/29/20,15.75,16.41,15.86,16.32
12/28/20,15.91,16.46,16.06,15.97
12/24/20,15.53,16.04,15.66,16.04
12/23/20,15.5,16.17,15.89,15.51
12/22/20,15.45,16.38,15.48,16.34
12/21/20,15.56,16.24,16.1,15.77
12/18/20,16.29,16.735,16.51,16.735
12/17/20,16.65,16.99,16.8,16.9477
12/16/20,16.58,17.04,16.86,16.88
12/15/20,16.16,17.06,17.01,16.99
12/14/20,16.68,17.81,16.7,17.52
12/11/20,16.81,17.91,17.05,17.82
12/10/20,16.67,18.04,17.99,16.75
12/9/20,16.63,18.63,17.16,18.37
12/8/20,17.16,17.92,17.63,17.47
12/7/20,16.47,18.07,17.21,16.54
12/4/20,16.12,16.93,16.4,16.4
12/3/20,15.16,16.5,16.09,15.19
12/2/20,13.85,14.86,14.86,14.16
12/1/20,14.24,14.78,14.27,14.42
11/30/20,13.93,14.96,14.13,14.92
11/27/20,14.95,15.56,14.98,15.12
11/25/20,14.37,15.08,14.94,14.77
11/24/20,14.08,14.97,14.82,14.32
11/23/20,12.69,13.58,13.56,12.75
11/20/20,12.46,12.91,12.53,12.8
11/19/20,12.63,13.04,12.79,12.73
11/18/20,12.73,13.36,12.74,12.91
11/17/20,12.23,12.81,12.7,12.48
11/16/20,12.41,12.96,12.79,12.87
11/13/20,11.85,12.25,12.24,11.91
11/12/20,11.65,12.23,11.74,11.97
11/11/20,11.93,12.46,12.04,12.4
11/10/20,12.34,13.02,12.38,12.85
11/9/20,12.75,14.41,13.2,14.33
11/6/20,11.275,11.51,11.46,11.44
11/5/20,11.09,11.67,11.6,11.12
11/4/20,10.93,11.31,11.005,11.21
11/3/20,11.15,11.45,11.25,11.34
11/2/20,10.87,11.34,11.19,11.32
10/30/20,10.98,11.415,11.28,11.06
10/29/20,10.89,11.29,11.16,10.96
10/28/20,10.63,11.16,10.95,10.89
10/27/20,11.2,11.79,11.23,11.77
10/26/20,11.67,12.45,11.8,12.39
10/23/20,12.42,13.08,12.6,13.07
10/22/20,12.42,13.29,13.15,12.6
10/21/20,12.55,12.87,12.745,12.69
10/20/20,12.585,13,12.8,12.75
10/19/20,12.45,12.865,12.56,12.64
10/16/20,12.2,12.56,12.46,12.3064
10/15/20,11.97,12.3,12.23,12.22
10/14/20,12.29,12.57,12.36,12.35
10/13/20,12.2,12.64,12.22,12.59
10/12/20,12.9,13.17,12.92,13.14
10/9/20,12.95,13.49,13.2,13.25
10/8/20,12.725,13.68,13.155,13.33
10/7/20,12.81,13.18,13.07,12.98
10/6/20,12.46,13.44,12.53,13.28
10/5/20,12.75,13.2,13.12,13.09
10/2/20,12,13.35,13,12.05
10/1/20,12.35,12.77,12.58,12.45
9/30/20,12.22,12.915,12.29,12.32
9/29/20,12.11,12.66,12.25,12.59
9/28/20,12.49,13.15,12.76,12.74
9/25/20,11.71,12.31,12.29,11.76
9/24/20,11.22,12,11.77,11.74
9/23/20,11.91,12.74,11.93,12.53
9/22/20,12.18,12.5,12.34,12.3
9/21/20,12.08,12.98,12.21,12.82
9/18/20,13.03,13.59,13.19,13.51
9/17/20,13.36,14.08,13.63,13.5
9/16/20,12.98,13.96,13.8,13.21
9/15/20,13.0823,13.66,13.14,13.2686
9/14/20,12.9,13.29,13.26,13.02
9/11/20,12.68,13.08,12.95,13.08
9/10/20,12.97,13.49,13.005,13.21
9/9/20,12.8,13.58,13.05,13.48
9/8/20,13.15,14.16,13.63,13.36
9/4/20,12.96,13.82,13.61,13.65
9/3/20,13.03,14.07,13.36,13.4
9/2/20,12.67,13.34,13.23,12.94
9/1/20,12.66,13.84,13.1,12.86
8/31/20,13.05,13.74,13.05,13.6
8/28/20,13.23,13.63,13.59,13.59
8/27/20,13.12,14.26,13.28,13.43
8/26/20,12.7,13.15,12.785,13.11
8/25/20,12.77,14.02,13.14,13.69
8/24/20,12.27,13.48,13.44,12.44
8/21/20,12.09,12.63,12.16,12.4385
8/20/20,12.26,12.67,12.5,12.38
8/19/20,12.58,13.44,12.68,12.65
8/18/20,12.51,12.88,12.6,12.6
8/17/20,12.61,13.38,12.62,13.32
8/14/20,13.01,13.56,13.33,13.11
8/13/20,13.11,13.9,13.3,13.19
8/12/20,13.1,14.06,13.54,14.03
