Date,Low,High,Close,Open
11/8/21,397.4,399.62,398.06,398.57
11/5/21,397.16,400.99,398.6,400.04
11/4/21,393.92,399.2,398.22,394.48
11/3/21,388.48,393.61,393.18,389.55
11/2/21,386.75,389.54,389.05,386.8
11/1/21,384.42,387.56,387.43,386.56
10/29/21,380.7,386.28,386.11,381.06
10/28/21,381.155,384.48,384.22,381.95
10/27/21,379.31,383.15,380,379.58
10/26/21,377.905,382.71,379.12,380.23
10/25/21,373.56,378.87,377.93,375.56
10/22/21,372.385,376.97,374.1,375.98
10/21/21,373.85,377.47,377.27,374.16
10/20/21,373.46,376.565,374.98,375.94
10/19/21,372.6974,375.52,375.47,373.75
10/18/21,366.99,372.87,372.65,367.61
10/15/21,366.82,369.06,368.94,367.88
10/14/21,363.01,366.85,366.63,363.69
10/13/21,357.43,360.69,360,359.51
10/12/21,356.48,360.33,357.14,359.88
10/11/21,358.3,363.2,358.39,359.58
10/8/21,360.61,364.3166,361.16,364.08
10/7/21,362.25,365.69,362.97,362.8
10/6/21,353.15,359.95,359.67,354.08
10/5/21,353.48,359.69,357.38,353.71
10/4/21,350.32,358.86,352.62,358.52
10/1/21,354.38,361.25,360.18,358.6
9/30/21,357.1,362.68,357.96,360.97
9/29/21,358.635,363.37,359.28,361.17
9/28/21,359.35,370.302,359.87,365.67
9/27/21,367.73,371.2516,370.35,370.2
9/24/21,370.27,373.76,373.33,370.65
9/23/21,370.099,374.04,372.98,370.76
9/22/21,365.9584,371.07,369.57,367.09
9/21/21,364.99,368.81,366.15,367.58
9/20/21,360.93,369.25,365.7,367.46
9/17/21,372.76,377.87,373.83,377.82
9/16/21,374.695,378.9,378.31,376.68
9/15/21,373.37,378.41,378.05,375.73
9/14/21,374.28,378.61,375.26,377.86
9/13/21,374.22,379.43,376.33,378.99
9/10/21,376.245,381.97,376.59,381.23
9/9/21,379.22,382.15,379.47,381.01
9/8/21,378.45,381.93,380.78,381.93
9/7/21,380.4882,382.778,382.11,381.68
9/3/21,379.2003,381.98,381.57,379.22
9/2/21,379.15,382.31,380.4,381.97
9/1/21,380.37,382.71,380.58,381.04
8/31/21,378.36,380.579,379.95,380.51
8/30/21,376.83,380.76,380.26,376.85
8/27/21,372.57,376.56,376.04,373.07
8/26/21,371.97,374.62,372.42,373.92
8/25/21,373.855,375.39,374.8,374.63
8/24/21,373.36,374.99,374.37,373.84
8/23/21,368.79,373.935,373.23,368.8
8/20/21,364.74,368.14,367.73,365.06
8/19/21,359.96,365.68,363.96,360.22
8/18/21,361.865,366.62,362.21,365.18
8/17/21,363.23,367.15,365.73,366.15
8/16/21,363.7,369.02,368.98,367.67
8/13/21,367.38,369.16,368.82,367.89
8/12/21,364.295,367.9,367.53,365.69
8/11/21,364.84,368.65,366.21,368.14
8/10/21,365.62,369.56,366.84,369.26
8/9/21,367.39,369.27,368.73,368.52
8/6/21,366.905,369.37,368.05,368.37
8/5/21,367.45,369.91,369.67,368.18
8/4/21,365.63,368.32,367.34,366.77
8/3/21,362,366.93,366.81,365.28
8/2/21,363.87,366.88,364.6,366.28
7/30/21,362.41,365.17,364.57,362.44
7/29/21,365.25,367.6794,366.48,365.25
7/28/21,363.24,367.45,365.83,365.6
7/27/21,360.16,368.22,364.43,368.22
7/26/21,366.601,368.89,368.49,367.49
7/23/21,363.9157,368.485,368.2,365.31
7/22/21,361.77,363.96,363.95,361.77
7/21/21,358.12,361.56,361.56,358.35
7/20/21,353.8,360.28,358.79,355.63
7/19/21,352.04,355.18,354.67,354.05
7/16/21,357.24,362.41,357.6,361.4
7/15/21,358.46,363.19,360.52,362.98
7/14/21,362.22,365.49,363.07,364.83
7/13/21,361.54,365.465,362.42,362.03
7/12/21,360.83,362.89,362.42,362.45
7/9/21,357.57,361.5,361.01,358.17
7/8/21,354.42,359.65,358.77,355.74
7/7/21,358.94,362.76,360.95,362.45
7/6/21,356.49,360.48,360.19,359.26
7/2/21,356.28,358.97,358.64,356.52
7/1/21,352.68,355.09,354.57,354.07
6/30/21,353.83,355.23,354.43,354.83
6/29/21,352.67,355.0199,354.99,353.53
6/28/21,350.72,353.85,353.71,350.78
6/25/21,348.84,350.72,349.46,350.47
6/24/21,349.17,351.46,349.89,349.73
6/23/21,346.88,348.92,347.74,347.51
6/22/21,343.84,348.03,347.57,344.15
6/21/21,340.15,344.69,344.36,342.43
6/18/21,341.86,344.8082,342.63,343.63
6/17/21,339.92,346.38,345.34,339.97
6/16/21,337.45,343.84,341.01,342.74
6/15/21,341.52,344.47,342.26,344.15
6/14/21,340.46,344.52,344.51,341.68
6/11/21,339.69,341.25,341.24,340.36
6/10/21,336.73,340.46,340.35,337.19
6/9/21,336.651,338.97,336.84,338.17
6/8/21,335.03,339.29,336.76,338.395
6/7/21,334.34,336.66,336.6,335.05
6/4/21,331.78,336.0582,335.6,331.85
6/3/21,328.28,331.86,330,330.55
6/2/21,331.695,334.34,333.47,333.25
6/1/21,331.43,335.785,332.82,335.3
5/28/21,333.6,335.5699,333.93,334.12
5/27/21,332.67,334.54,332.88,333.67
5/26/21,332.95,334.61,334.13,333.66
5/25/21,331.755,334.81,332.97,334.07
5/24/21,326.9032,333.67,332.51,329.37
5/21/21,326.64,330.86,327.01,330.43
5/20/21,323.89,329.71,328.83,324.12
5/19/21,316.3,322.9,322.59,316.66
5/18/21,321.94,326.65,322.22,325.39
5/17/21,321.45,326.3721,324.41,324.63
5/14/21,322.08,327.33,326.39,322.6
5/13/21,316.9,322.4,319.34,319.92
5/12/21,316,322.62,316.89,320.23
5/11/21,319.02,326.1299,325.31,319.7
5/10/21,325.55,332.96,325.76,332.78
